architecture,sample,true_f1_hz,inferred_f1_hz,true_f2_hz,inferred_f2_hz,true_phase1,inferred_phase1,particle_ess
Amortized joint surrogate,35,52.56766944496165,54.06466314837564,53.79992320263539,49.705351965005846,6.233143925799666,1.373509790375691,64.0
Amortized joint surrogate,36,52.69347615969774,43.96423092642417,62.059766601165,50.332826252644814,2.534463589355772,3.4733344384120324,38.678911223248704
Amortized joint surrogate,37,52.94559914653038,50.82467386210529,61.47126205869289,50.333485576059566,5.039373073614044,0.2971951851858546,64.0
Amortized joint surrogate,38,53.71188673887665,52.1192949801055,61.96549122478786,49.09866197845039,1.4440384570891798,3.0669759875637017,42.14948449230186
Amortized joint surrogate,39,53.49540115114188,51.92332834856722,61.8927588586883,47.3536186595979,4.071714941008886,5.705110027346156,64.0
Amortized joint surrogate,40,53.14243054887955,53.047018176711454,61.50896619610087,48.63606492851885,0.3811171543585212,2.1096003056775787,47.8541270939313
Amortized joint surrogate,41,53.323154540878086,51.56886531514052,61.486847237685346,49.807378782814816,2.9403043921643905,4.767341398088066,64.0
Amortized joint surrogate,42,54.037928085347,50.7298647327462,61.009644323981775,49.548677292955944,5.5146906549137436,1.3858182096659208,39.905444384293446
Amortized joint surrogate,43,54.0925555088724,49.902521470391946,61.041988494628505,50.17292030167813,1.9524860425732342,3.624747421208894,64.0
Amortized joint surrogate,44,54.013775528932946,53.63194727617172,61.70675565002279,52.05956886861383,4.6486181138154,6.175043179553162,64.0
Amortized joint surrogate,45,53.722602212849516,53.274426819192215,62.19376310814402,53.47801266377723,0.9018187270981821,2.3824410069450273,38.31404751222244
Amortized joint surrogate,46,53.22113492767943,53.521628071591444,61.88157541009545,53.698070487928305,3.4723961478783187,4.9786185129587555,64.0
Amortized joint surrogate,47,52.984598271323925,53.554583691289864,61.694225917994586,53.77684873863069,6.110225896158375,1.3263319892905767,64.0
Amortized joint surrogate,48,42.03950496120961,43.015174084713955,42.17195864457672,53.976111209283076,1.9575005372396017,3.4634015294258043,57.64309798066346
Amortized joint surrogate,49,41.99969607120447,40.93030455473697,41.66372462192401,53.34378786622386,4.053335337344601,5.601356993014885,40.042001289055
Amortized joint surrogate,50,42.505058415619445,40.249386143991636,41.60489460446836,52.44899207782331,6.156889994932447,1.18686858904239,64.0
Amortized joint surrogate,51,41.78933787263912,43.329747484756666,41.594396321088496,50.4748164344528,1.8701681544433253,3.3119558540819747,64.0
Amortized joint surrogate,52,41.3736611485118,43.0391116251881,41.66141563843149,52.49748336655407,3.8315522809924953,5.060378431628944,45.00119365672675
Amortized joint surrogate,53,40.522245942028974,46.82813322554545,41.75154949148791,48.935118600511245,5.671076434435297,5.985145201868733,64.0
Amortized joint surrogate,54,40.6383236487516,51.46574618180348,41.382789653947825,44.12636948307008,1.3831388241064335,0.7933909967818485,64.0
Amortized joint surrogate,55,40.87436996689548,45.19854560421818,41.76822791510782,51.194513414212324,3.476773153541618,4.519439939143041,64.0
Amortized joint surrogate,56,40.97821840824201,43.88861689185685,41.73797215806586,52.528065509770066,5.421233095769163,0.4721492435691207,50.89767628487438
Amortized joint surrogate,57,40.79105342334534,47.23309366196563,41.52242710924734,49.09748839716631,1.2201121565442579,2.4442721080565724,64.0
Amortized joint surrogate,58,41.88623424056396,50.9805097639576,41.25498645108873,45.277254924286716,3.377040959720522,4.782094188312196,64.0
Amortized joint surrogate,59,41.78826795610033,50.267667532633205,40.419726533733495,45.77251194376271,5.372332337698891,0.9733875470665855,64.0
