seed,architecture,snr_db,channel,achieved_snr_db,mse_frequency,phase_circular_rmse,channel_nmse,particle_ess_mean,unique_ancestor_mean,mala_acceptance,resampling_count,latency_ms_per_sample
6,Analytical joint score,-5.0,MP,-5.459854176553955,284.2979597028465,1.7002747962563223,0.19719144461838028,55.913696098630204,41.68,0.98125,25.0,1.000432650000486
6,Amortized joint surrogate,-5.0,MP,-5.459854176553955,350.81295535850694,1.394862316098839,0.21220714138488228,56.13704309294514,41.12,0.749375,25.0,1.1552322666669095
6,Analytical joint score,-5.0,NLOS,-5.410766815156602,146.53534887986427,1.6703413850752211,0.2406941863589276,54.207050095633974,42.526315789473685,0.9671052631578947,19.0,0.8977396666665527
6,Amortized joint surrogate,-5.0,NLOS,-5.410766815156602,135.8372130851354,1.4198393709846129,0.15768275400516832,54.54951353716032,43.4,0.76171875,20.0,0.9290363833334444
7,Analytical joint score,15.0,LOS,14.708448300925966,436.18886789356816,1.639208312704472,0.20132535787563627,63.47247665668806,14.576271186440678,0.9745762711864406,59.0,2.03033853333352
7,Amortized joint surrogate,15.0,LOS,14.708448300925966,59.46073146592925,0.963354995067788,0.08495651858933195,62.47277305907024,16.785714285714285,0.6110491071428571,56.0,2.162765266666611
7,Analytical joint score,15.0,MP,14.318652150533724,449.6500361151843,1.5987435133220411,0.15288748752571496,64.0,7.433333333333334,0.97109375,60.0,2.0449666166674283
7,Amortized joint surrogate,15.0,MP,14.318652150533724,117.59968704754483,1.1299296087153985,0.11117852099060227,63.05262616015252,11.137931034482758,0.5463362068965517,58.0,2.273788900000303
7,Analytical joint score,15.0,NLOS,14.719906906213858,171.29086859252791,1.783664552017098,0.5583740968403553,64.0,13.05,0.9747395833333333,60.0,2.1193115000007388
7,Amortized joint surrogate,15.0,NLOS,14.719906906213858,107.34751922337921,1.8500649887299871,0.4704289546143304,63.641567184139724,11.76271186440678,0.5601165254237288,59.0,2.0572694666668667
7,Analytical joint score,5.0,LOS,4.951653890069374,396.8950165271187,1.6698164415942098,0.06666736219745616,60.16649975031592,26.782608695652176,0.975203804347826,46.0,1.532844466666461
7,Amortized joint surrogate,5.0,LOS,4.951653890069374,379.8343408588346,1.2710566440155233,0.08454653322544033,60.381052879221016,31.361702127659573,0.7696143617021277,47.0,1.6529211166670166
7,Analytical joint score,5.0,MP,4.2166906238341095,70.20544444672639,1.4609558111159475,0.10857226154626558,57.995432411460094,34.473684210526315,0.9708059210526315,38.0,1.3773883666668023
7,Amortized joint surrogate,5.0,MP,4.2166906238341095,61.95029099256643,0.8446117993700172,0.1782436062235268,57.011567311288104,33.13157894736842,0.7446546052631579,38.0,1.4434789833330797
7,Analytical joint score,5.0,NLOS,5.410648351680041,355.93618843324066,1.9830427271617923,0.4869172358237431,57.40100242066518,32.85,0.97421875,40.0,1.3896584833332781
7,Amortized joint surrogate,5.0,NLOS,5.410648351680041,354.9284059848587,1.4076622044523677,0.48363745004434633,59.26014618442881,31.2,0.7479166666666667,45.0,1.5921555500000295
7,Analytical joint score,-5.0,LOS,-5.285975450513063,98.3728045972429,1.2523692456858737,0.05304417848201167,56.45351066832302,41.25,0.9752604166666666,24.0,0.9186283499995321
7,Amortized joint surrogate,-5.0,LOS,-5.285975450513063,130.0555281112619,1.3430856279958743,0.10228889056858165,56.65825960274275,40.16,0.7975,25.0,1.0342806500005963
7,Analytical joint score,-5.0,MP,-4.963454898769549,76.60329645624851,0.9913381406090549,0.08389600858150714,58.13079581423562,39.13793103448276,0.9730603448275862,29.0,1.0854165000002542
7,Amortized joint surrogate,-5.0,MP,-4.963454898769549,100.8200161892828,1.3566393975076796,0.13235165578715619,56.260683191286425,39.46153846153846,0.7608173076923077,26.0,1.1658090833331396
7,Analytical joint score,-5.0,NLOS,-4.033953702823707,280.0975761597217,1.777894722251469,0.4228523693405272,54.417865946678155,39.36842105263158,0.9769736842105263,19.0,0.8179217833334936
7,Amortized joint surrogate,-5.0,NLOS,-4.033953702823707,304.503364875033,1.7191560962494619,0.2983043382100952,55.49181018941761,41.90909090909091,0.7443181818181818,22.0,0.9466527333330532
8,Analytical joint score,15.0,LOS,15.089301271974303,186.8474412249768,1.1867101475926638,0.19943143071685135,64.0,17.833333333333332,0.9682291666666667,60.0,1.8243506499999285
8,Amortized joint surrogate,15.0,LOS,15.089301271974303,90.26799630609656,1.17645554781611,0.21505150259683137,62.27658578880155,15.321428571428571,0.6130022321428571,56.0,1.793723233332874
8,Analytical joint score,15.0,MP,16.03135286783576,9.857837723673269,0.8199730027978697,0.2901106506642281,61.291244725996535,23.574074074074073,0.9675925925925926,54.0,2.3135781500002395
8,Amortized joint surrogate,15.0,MP,16.03135286783576,181.39813309858104,1.5194615273106375,0.27248731391513575,64.0,25.862068965517242,0.6670258620689655,58.0,2.1220948499992196
8,Analytical joint score,15.0,NLOS,15.876382102918381,322.9307420013246,1.8515847234443783,0.8782393061839384,63.10659255091384,10.327586206896552,0.9760237068965517,58.0,1.9559490000006008
8,Amortized joint surrogate,15.0,NLOS,15.876382102918381,239.54100382205903,2.114947896283092,0.7085526259739368,64.0,10.683333333333334,0.5270833333333333,60.0,1.9768868999998783
