seed,architecture,snr_db,channel,achieved_snr_db,mse_frequency,latency_ms_per_window,ess,acceptance_rate
3,Analytical score,-5.0,LOS,-4.435383317156271,57.1159527736276,40.5624065,6.283399397533806,0.7840909090909091
3,Amortized surrogate,-5.0,MP,-5.073986289751544,39.512357339179026,63.2063465,16.2282783018937,0.8068181818181818
3,Analytical score,-5.0,MP,-5.073986289751544,26.993394448066752,42.695001,14.599923099285958,0.7977272727272727
3,Amortized surrogate,-5.0,NLOS,-5.798784794662314,47.22663667779399,67.6149695,12.15691424666213,0.7818181818181817
3,Analytical score,-5.0,NLOS,-5.798784794662314,50.84315008745934,56.77325075,12.19952334690442,0.7931818181818182
3,Amortized surrogate,5.0,LOS,5.079772064896279,15.009299052399689,56.94205,13.91327424755471,0.8136363636363636
3,Analytical score,5.0,LOS,5.079772064896279,1.9477204658822882,42.94864275,11.796735408030024,0.8295454545454546
3,Amortized surrogate,5.0,MP,5.145175163909615,3.5167214933409965,57.81093975,6.797011497666358,0.8045454545454545
3,Analytical score,5.0,MP,5.145175163909615,1.9502378958038609,41.40255375,11.575333626347128,0.8250000000000001
3,Amortized surrogate,5.0,NLOS,4.814635195468777,30.078225369846358,56.811079,10.27315476666605,0.7840909090909092
3,Analytical score,5.0,NLOS,4.814635195468777,123.79394868343816,39.277846,7.03125920390216,0.781818181818182
3,Amortized surrogate,15.0,LOS,14.90769291288313,0.993741119745836,63.010848,12.853784694970157,0.8181818181818181
3,Analytical score,15.0,LOS,14.90769291288313,0.7705444867554507,43.32293275,11.730549464422696,0.8113636363636364
3,Amortized surrogate,15.0,MP,14.754017460870303,8.914768296608084,57.456722,12.837717640003522,0.7909090909090909
3,Analytical score,15.0,MP,14.754017460870303,12.742719245263046,40.62850675,16.729194849406422,0.7954545454545454
3,Amortized surrogate,15.0,NLOS,14.131934354543695,39.534383282570786,60.99321825,19.90815006065961,0.8340909090909091
3,Analytical score,15.0,NLOS,14.131934354543695,9.42168936933709,41.42587325,14.91596167467204,0.8659090909090909
4,Amortized surrogate,-5.0,LOS,-4.992377253004289,133.0571049464153,57.31492,8.904316419491575,0.775
4,Analytical score,-5.0,LOS,-4.992377253004289,136.88895107852878,41.91584875,9.865939893034561,0.7863636363636364
4,Amortized surrogate,-5.0,MP,-5.638563936267039,194.24180180867936,56.2878395,8.441488342095063,0.7613636363636364
4,Analytical score,-5.0,MP,-5.638563936267039,195.24587108657968,47.13633,17.667309838141968,0.7931818181818181
4,Amortized surrogate,-5.0,NLOS,-4.518460922411388,32.9188503207456,57.75371275,8.994505353284374,0.8295454545454546
4,Analytical score,-5.0,NLOS,-4.518460922411388,34.7986294553989,44.09076825,8.873691338566772,0.8431818181818183
4,Amortized surrogate,5.0,LOS,4.854952209898692,40.349151254625596,62.5384985,17.623932249125176,0.7409090909090909
4,Analytical score,5.0,LOS,4.854952209898692,42.29713010077724,42.198063,18.6504233702392,0.7613636363636365
4,Amortized surrogate,5.0,MP,5.444973304677419,6.973197078370361,63.266817,17.12510943792892,0.8159090909090908
4,Analytical score,5.0,MP,5.444973304677419,7.0800663595289945,45.71693175,16.943284160494905,0.8136363636363636
4,Amortized surrogate,5.0,NLOS,5.268922381023611,4.806574198477497,63.17781425,19.95668053112855,0.8181818181818182
4,Analytical score,5.0,NLOS,5.268922381023611,6.61468258423707,45.123745,13.475635474049081,0.8204545454545455
4,Amortized surrogate,15.0,LOS,15.344169203246736,2.1745680661973923,61.6786645,15.54375864322574,0.7909090909090909
4,Analytical score,15.0,LOS,15.344169203246736,2.0331953729766092,44.1935275,14.364731693628903,0.8272727272727273
4,Amortized surrogate,15.0,MP,14.284308670595793,34.21232626674277,61.0212395,6.928165425282339,0.8272727272727273
4,Analytical score,15.0,MP,14.284308670595793,38.03033267618638,41.36851375,9.207450684724813,0.825
4,Amortized surrogate,15.0,NLOS,15.195869776444209,70.96181425303418,61.8816215,5.904494426312731,0.8545454545454546
4,Analytical score,15.0,NLOS,15.195869776444209,45.05228100274584,40.60152175,6.888172344742889,0.8568181818181818
